name,city,source,link,min_salary,max_salary,currency
Дворник,Москва,HH.RU,https://hh.ru/vacancy/42411817?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,35000.0,руб.
Уборщик помещений,Минск,HH.RU,https://hh.ru/vacancy/42501932?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,780.0,,бел.руб.
Дворник,Сысерть,HH.RU,https://hh.ru/vacancy/41892783?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,25000.0,,руб.
Дворник/разнорабочий,Москва,HH.RU,https://hh.ru/vacancy/42765313?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,30000.0,45000.0,руб.
Дворник,Москва,HH.RU,https://hh.ru/vacancy/42682781?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,29500.0,29500.0,руб.
Дворник на крышу Меги,Омск,HH.RU,https://hh.ru/vacancy/42830886?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,33000.0,руб.
Дворник,Красноярск,HH.RU,https://hh.ru/vacancy/42532691?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,25000.0,руб.
Дворник,Санкт-Петербург,HH.RU,https://hh.ru/vacancy/39099280?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,,
Уборщица(уборщик) офисных помещений,Самара,HH.RU,https://hh.ru/vacancy/42864780?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,15000.0,,руб.
Уборщик производственных и служебных помещений,Новосибирск,HH.RU,https://hh.ru/vacancy/42752838?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,16500.0,16500.0,руб.
Дворник,Мурманск,HH.RU,https://hh.ru/vacancy/42875051?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,20000.0,25000.0,руб.
Дворник,Краснодар,HH.RU,https://hh.ru/vacancy/41613017?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,,
